Street Name,From Street Name,To Street Name,PCI,Surface Distress Index,Roughness Index,Condition Rating
HOLLYWOOD RD,CATO ST,GUN CLUB DR,64.0,72.69,79.0109133,Good
CASCADE RD,SPRING PARK DR,WOODLAND TER,54.0,44.5,52.27451939,Marginal
PACES FERRY RD,WEST ANDREWS DR,WEST ANDREWS DR,49.0,67.81,56.02019682,Fair
WILDWOOD RD,LENOX RD,MEADOWDALE AVE,66.0,59.62,62.59172351,Fair
PIEDMONT AVE NE,PIEDMONT AVE NE,MORNINGSIDE DR NE,57.0,75.28,66.77301648,Good
PIEDMONT AVE NE,PIEDMONT AVE NE,MORNINGSIDE DR NE,57.0,75.28,66.77301648,Good
PIEDMONT AVE NE,PIEDMONT AVE NE,MORNINGSIDE DR NE,57.0,75.28,66.77301648,Good
DIXIE ST,CLIFTON ST,CLAY ST,56.0,54.605,39.68902681,Marginal
17TH ST,ATLANTIC ST,DISTRICT ST,40.0,60.6,65.21596031,Fair
BROWNLEE RD,RABUN DR,DAMERON CIR,51.0,28.07,35.18013426,Poor
GRANGE DR,PENN CT,LATHROP ST,45.0,68.9,61.72849623,Good
WAKEFIELD DR,HUNTINGTON RD,CAMDEN RD,58.0,76.87,56.9990775,Good
RICHARDSON ST,CENTRAL AVE,DOWNTOWN CONNECTOR,38.0,69.0,63.72475213,Good
CAMILLA ST,PEEPLES ST,ABBOTT ST,51.0,72.74,50.99764823,Good
TWIN SPRINGS RD,MILLBROOK DR,EAST CONWAY DR,48.0,57.68,44.48019369,Marginal
HOLLY RD,VICTOR CIR,AKRIDGE ST,41.0,72.41,54.16820678,Good
ROCKRIDGE PL NE,ROCK SPRINGS RD NE,DEAD END,62.0,46.13,55.57696673,Marginal
HOLLYWOOD DR,HOLLYWOOD RD,GUN CLUB DR,42.0,24.92,53.49510911,Poor
LANDAU LN,DENVILLE TRCE,CRANFORD DR,59.0,75.28,54.77904,Good
TUXEDO CT,TUXEDO CT,NE END,37.0,55.6,34.88012655,Marginal
HOWELL MILL RD,14TH ST,HUFF RD,47.0,29.285,41.35947701,Poor
LAKE FORREST DR,LAUREL DR,ROSE GATE DR,56.0,75.895,76.02816548,Very Good
DECATUR ST,PARK PL,KIMBALL WAY,55.0,52.6,51.14701559,Marginal
BEECH VALLEY WAY,SOUTH END,BEECH VALLEY WAY,54.0,74.845,54.14964937,Good
LADD ST,DOVERS ALLEY,OAKLAND DR,45.0,59.385,58.04274754,Fair
STONE RD SW,HAMPSHIRE PARK WAY,BARROW PL SW,39.0,60.65,65.19343658,Fair
KIRKWOOD RD,EMERY PL,FOWLER ST,42.0,47.87,69.76075909,Fair
BUTNER RD,FAIRBURN AVE,WAITS AVE,55.0,81.9,73.73422581,Very Good
NORTH EUGENIA PL,NEWMAN PL,CLARK PL,43.0,68.84,56.04337622,Fair
OAKCLIFF CT NW,OAKCLIFF RD NW,DEAD END,39.0,60.5,51.5606241,Fair
HUNTINGTON RD,WOODCREST AVE,PALISADES RD,50.0,49.235,65.52767109,Marginal
CHESHIRE BRIDGE RD NE,PIEDMONT AVE NE,WINDEMERE DR NE,37.0,60.97,29.98136109,Marginal
ORMOND ST,GRANT TER,HILL ST,54.0,55.09,28.22661346,Marginal
STATE ST,LAURENT ST,15TH ST,62.0,65.545,44.8169363,Fair
NISKEY COVE RD,NISKEY OVERLOOK,LAKE COVE DR,55.0,41.135,68.78074516,Marginal
WOODWARD WAY,WHITMORE DR,ALTON RD,58.0,71.545,83.49467499,Very Good
KENNER DR,HOWELL DR,FAIRBURN RD,63.0,77.9,78.62799171,Very Good
CREEK WOOD CLOSE,NORTH BUCKHEAD DR,EAST END,63.0,77.32,64.52907305,Good
MONROE DR,CRESTHILL AVE,ELMWOOD DR,38.0,39.345,56.74495667,Marginal
OAK KNOLL CIR SE,OAK KNOLL CIR SE,OAK KNOLL CIR SE,37.0,70.66,63.35399921,Good
LEE ST,I-20,I-20,54.0,73.18,58.42336337,Good
HOLLY DR,HUMPHRIES DR,ALLEN LN,40.0,15.85,54.28403364,Very Poor
HOSEA L WILLIAMS DR,ROSECLAIR DR,EAST LAKE DR,60.0,75.91,68.43607355,Good
PEACHTREE CIR,17TH ST,PEACHTREE CIR,62.0,16.415,48.10356686,Very Poor
HAWKINS ST,CHILDS DR,CHAPPELL RD,51.0,68.63,58.30329465,Good
MELL AVE,DEKALB AVE,IVERSON ST,38.0,46.6,68.48778157,Marginal
HAVENRIDGE DR NW,DEAD END,WOODWARD WAY NW,41.0,68.9,52.7235762,Fair
CENTRAL PARK PL,BEDFORD PL,RENAISSANCE PKWY,67.0,62.415,73.13568346,Good
RICHARDSON RD,SPRINGVIEW RD,WEST LAKE AVE,48.0,49.61,26.4790342,Poor
PALMETTO AVE,PEEPLES ST,ABBOTT ST,63.0,65.545,58.55725795,Fair
TED TURNER DR SW,SPRING ST SW,WHITEHALL ST SW,57.0,70.8,90.98614105,Very Good
ARGONNE AVE,4TH ST,5TH ST,61.0,77.6,57.976,Good
BRIARCLIFF PL,ROSEDALE RD,BRIARCLIFF RD,66.0,95.1,85.07795,Excellent
DOROTHY BOLDEN WAY,VINE ST,WALNUT ST,63.0,58.97,75.33354545,Fair
MARIETTA ST,BAKER ST,LATIMER ST,57.0,49.085,34.71885946,Poor
CLAREMONT ST,DEFOOR AVE,MANTISSA ST,59.0,72.4,74.23819508,Good
VINE ST,SPENCER ST,THURMOND ST,38.0,53.69,39.05513061,Marginal
PEACHTREE PL,CYPRESS ST,CRESCENT AVE,64.0,58.4,44.54081142,Marginal
GAMBRELL DR NE,GAMBRELL DR NE,LOWERGATE DR NE,38.0,7.155,48.69693961,Very Poor
CAHABA DR,VENETIAN DR,BAYBERRY DR,40.0,36.5,48.89800988,Poor
CAVE RD,BEECHWOOD DR,MOUNT PARAN RD,59.0,45.82,49.01211967,Marginal
ROCKWELL ST,BERYL ST,HOBSON ST,50.0,68.07,46.8320321,Fair
WATERBURY DR,ANDERSON AVE,ANDERSON AVE,64.0,28.7,56.28876894,Poor
HALL ST,BELLVIEW AVE,DUPREE ST,54.0,52.52,48.52781448,Marginal
LAURENS WAY,HARBIN RD,LAURENS DR,42.0,37.47,54.86615235,Poor
RENAISSANCE PKWY NE,CARLISLE WAY NE,GILBERT TRL NE,47.0,88.7,69.54775,Very Good
PEACHTREE WAY,FORREST WAY,ACORN AVE,48.0,80.0,61.69424247,Good
GREENDALE DR SE,LAKEWOOD TRL SE,LAKEWOOD TRL SE,63.0,77.7,58.10775,Good
8TH ST,MYRTLE ST,PENN AVE,41.0,43.835,63.69191002,Marginal
LAKE FORREST CT,SE END,LAKE FORREST LN,41.0,42.745,50.91847082,Marginal
BOULEVARD,BLVD PL,NORTH AVE,63.0,77.6,68.82236681,Good
HIGHLAND AVE,PIEDMONT AVE,HIGHLAND AVE,63.0,83.4,100.0,Excellent
GLENWOOD AVE,LOOMIS AVE,PARK AVE,57.0,61.69,62.59172351,Fair
SANDERS AVE,FLORIDA AVE,MORELAND AVE,59.0,49.79,40.19739582,Marginal
HADLOCK ST,MARCEL AVE,CAMPBELLTON RD,39.0,34.785,71.32064615,Marginal
PARKDALE PL NE,SPRINGDALE DR NE,SPRINGDALE DR,40.0,72.2,50.119,Fair
VALLEY RD,VALLEY CIR,HABERSHAM RD,67.0,54.71,56.8489634,Fair
POLAR ROCK AVE,POLAR ROCK TER,POLAR ROCK PL,58.0,71.57,77.85354393,Good
LANIER BLVD,LANIER BLVD,LANIER BLVD,65.0,59.75,68.79557025,Fair
ANGELO CT,ANGELO DR,CLUB TER,67.0,96.9,88.02995,Excellent
ANGELO CT,ANGELO DR,CLUB TER,67.0,96.9,88.02995,Excellent
CHARLTON PL,LYNNHAVEN DR,SHANNON DR,61.0,71.22,76.61483933,Good
CHESHIRE BRIDGE RD,WINDEMERE DR,MANCHESTER ST,41.0,70.795,65.28462035,Good
TUMLIN ST,ETHEL ST,14TH ST,45.0,62.205,45.65226439,Fair
BELL ST SE,AUBURN AVE,DOWNTOWN CONNECTOR,60.0,64.045,38.57481565,Fair
CYPRESS ST,3RD ST,4TH ST,64.0,72.5,50.59375,Good
ELEANOR TER,SKIPPER DR,VENETTA PL,66.0,71.77,72.00473482,Good
LAKEWOOD WAY,LAKEWOOD WAY,HILLTOP DR,40.0,12.09,67.27387675,Poor
IRWIN ST,AUBURN AVE,KROG ST,40.0,61.135,36.79927275,Marginal
HENRY THOMAS DR,KIPLING ST,MCDONOUGH BLVD,47.0,26.1,54.2555494,Poor
BREWER BLVD,WOODBOURNE DR,BRADDOCK ST,63.0,84.4,65.796,Very Good
FRASER ST,HAMMOCK PL,FULTON ST,61.0,53.085,65.22420689,Fair
TAFT ST,TAFT PL,LINCOLN ST,56.0,37.37,45.82233533,Poor
HOOD AVE,BAKER RD,3RD ST,66.0,79.76,76.81041778,Very Good
CASCADE PL,BEECHER ST,ALLEGHENY ST,54.0,36.985,63.04545365,Marginal
REGIS RD,LOCUST LN,VALLEY VIEW RD,65.0,41.3,65.37860001,Marginal
PINE ST,PARKWAY DR,LATTA ST,57.0,84.82,86.65554826,Excellent
FIELDING LN,SHELLEY DR,HARLAN RD,46.0,40.2,53.79590041,Poor
PARK AVE,LANSING ST,JONESBORO RD,56.0,43.145,30.73363049,Poor
POLAR ROCK PL,POLAR ROCK TER,POLAR ROCK RD,57.0,33.425,61.57607995,Poor
SOMERSET TRL,SOMERSET TRL,SOMERSET TRL,67.0,98.1,89.25995,Excellent
LAWTON ST,FAIR ST,ASHBY GROVE,42.0,63.65,54.63665891,Fair
MARTIN LUTHER KING JR DR,CERRO ST,ROCKMART DR,50.0,70.73,72.03032672,Good
JETTRIDGE DR,TWIN SPRINGS RD,NORTH END,45.0,57.92,62.07981292,Fair
MERRILL AVE,OAKLAND DR,HALL ST,39.0,42.65,48.52531122,Poor
HILL ST,PAVILLION ST,GEORGIA AVE,55.0,62.025,76.9103634,Good
VICTORY DR,SYLVAN RD,BUCKEYE ST,42.0,46.97,52.81946079,Marginal
HAAS AVE,OAK GROVE AVE,MCPHERSON AVE,41.0,68.63,62.8629239,Good
POLLARD BLVD,LOVE ST,POLLARD BLVD,37.0,46.015,64.14927957,Marginal
CATIVO DR,LISA DR,PEYTON RD,52.0,79.645,79.94335645,Very Good
ELLIOTT CIR,ELLIOTT CIR,BURKE RD,47.0,70.8,57.90930666,Good
MARIETTA RD,THOMAS ST,LAUREL AVE,65.0,73.795,53.01146116,Good
LESLIE ST,HOSEA L WILLIAMS DR,HARDEE ST,63.0,59.285,60.55149002,Fair
LEATHERS CIR,PORTER DR,LEATHERS CIR,57.0,68.42,61.10437323,Good
BUNKER HILL DR,STONE RD,BARROW PL,48.0,60.855,86.82326339,Good
FRASER ST,SOLOMON ST,NORTH END,67.0,73.945,76.59076946,Good
LYTLE AVE,GLENWOOD AVE,SANDERS AVE,41.0,56.37,55.9285213,Fair
CHEROKEE AVE,ROBINSON AVE,KENDRICK AVE,45.0,40.305,60.63253326,Marginal
BAKERS FERRY RD,FENNEL WAY,WILSON MILL RD,59.0,83.5,64.89375,Very Good
TECHWOOD DR,NORTH AVE,BOBBY DODD WAY,58.0,60.985,68.90357836,Fair
LEVEL RIDGE RD,RIVER RIDGE DR,SPRINGSIDE DR,42.0,68.095,65.47654783,Good
LIONEL LN,ROBIN HOOD RD,FRIAR TUCK RD,58.0,51.175,56.96705052,Marginal
HANK AARON DR,LITTLE ST,LITTLE ST,52.0,63.78,58.15179652,Fair
BEECH VALLEY WAY,BEECH VALLEY RD,BEECH VALLEY RD,64.0,65.845,64.82868112,Good
BEDFORD ST,LINDSAY ST,OLIVER ST,51.0,49.195,61.67712816,Marginal
CHARLES ALLEN DR,GREENWOOD AVE,7TH ST,60.0,73.87,58.15378566,Good
ARLINGTON SCHOOL DR,WEST END,FAIRBURN RD,49.0,79.0,75.16796009,Very Good
SUNSET AVE,FOUNDRY ST,FOUNDRY ST,66.0,58.31,37.74852336,Marginal
LAKEWOOD AVE,ANNE ST,BLASHFIELD ST,50.0,49.935,64.78057114,Marginal
EDGEWOOD AVE NE,SPRUCE ST NE,SPRUCE ST,54.0,85.7,87.10032578,Excellent
KLONDIKE ST SW,NEWHALEM ST SW,DEAD END,63.0,32.2,64.0802078,Poor
OAKVIEW RD,DOUGLAS ST,BATES AVE,65.0,54.47,63.47288968,Fair
ARROW ST,ARROW ST,BILLUPS ST,64.0,64.82,71.70203084,Good
KIRKWOOD RD,HOSEA L WILLIAMS DR,DUNWOODY ST,39.0,82.945,64.31717437,Very Good
BEECHER RD,BEECHER RD,BEECHER RD,58.0,59.815,59.15343785,Fair
WILLIS MILL RD,WILSON DR,OVIDIA CIR,52.0,51.285,67.84743417,Fair
CLEVELAND AVE,MACON DR,LOIS LN,87.0,42.305,63.3803273,Marginal
LANGSTON AVE,VICTORY DR,HARTE DR,65.0,66.9,49.18206764,Fair
BENJAMIN MAYS DR,FLAMINGO DR,BEECHER RD,58.0,41.375,70.53550039,Marginal
FAYETTEVILLE RD,MARY DELL DR,MONTVALLO TER,42.0,63.47,75.07302237,Good
GARY CT,GARY CT,GARY CT,65.0,27.3,36.45147318,Poor
CHAPPELL RD,COLLIER ST,ROME DR,40.0,44.155,80.06934081,Fair
ROBIN LN,ROBIN LN,ROBIN LN,43.0,63.39,34.1706975,Marginal
LENOX RD,FERNCLIFF RD,EAST PACES FERRY RD,64.0,76.33,63.7955695,Good
DOUGLAS ST,CHICAMAUGA AVE,CERRO ST,65.0,49.255,69.4908191,Fair
DARRAH CT,DARRAH WAY,NE END,38.0,57.15,57.97521385,Fair
ASTOR AVE,SYLVAN RIDGE DR,SYLVAN RD,42.0,64.6,66.40123102,Good
FORREST PARK RD,CONSTITUTION RD,NORWOOD RD,43.0,74.695,53.93042437,Good
BOOKER ST,MARTIN LUTHER KING JR DR,LENA ST,57.0,82.42,65.83805339,Very Good
GREENWICH ST,ATWOOD ST,HOLDERNESS ST,55.0,58.83,63.59882486,Fair
LINDBERGH DR,BRANCH AVE,BROOKWOOD DR,52.0,63.975,35.34998438,Marginal
PAGE AVE,MARLBROOK DR,HARRIET AVE,89.0,66.07,57.62078044,Fair
WESLEY RD,WESTMINSTER WALK,BARRON CT,59.0,52.425,80.94639408,Fair
WESLEY RD,WESTMINSTER WALK,BARRON CT,59.0,52.425,80.94639408,Fair
PERRY BLVD NW,MARY GEORGE AVE,MOORE ST NW,38.0,49.42,22.86458808,Poor
CREEK VALLEY CT,WALLACE AVE,NORTH END,48.0,71.6,58.60760077,Good
WESLEY RD,HABERSHAM RD,NORTH MUSCOGEE AVE,59.0,86.06,88.54026518,Excellent
CONRAD AVE,LAKEWOOD TER,LAKEWOOD AVE,41.0,61.485,53.71412571,Fair
MARIETTA ST,PERRY BLVD,ROCKDALE ST,46.0,73.25,66.23089239,Good
DOVER RD,WEST WESLEY RD,DOVER RD,38.0,70.59,67.69470186,Good
MARY ST,MCDANIEL ST,SMITH ST,61.0,82.87,69.75474257,Very Good
ARLINGTON CIR,SOUTH EUGENIA PL,BAKER RD,61.0,64.5,60.69617223,Fair
RIVERCHESS DR SW,RIVEROAK CT SW,DEAD END,55.0,78.5,59.14375,Good
MARIETTA RD,ELLEN ST,DUPONT AVE,48.0,68.38,75.52661816,Good
CLAIRE DR,PALIFOX DR,LAKESHORE DR,62.0,53.265,50.45675972,Marginal
MANCHESTER ST NE,CHESHIRE BRIDGE RD NE,BISMARK RD,62.0,39.465,46.96475484,Poor
HILL ST,MILTON AVE,NOLAN ST,63.0,42.715,74.91360502,Marginal
VENETIAN DR,FONTAINE AVE,DELOWE DR,59.0,76.8,74.01022682,Very Good
AUBURN AVE,HOWELL ST,HOWELL ST,58.0,56.45,54.79901008,Fair
PRINCETON LAKES PKWY,CAMP CREEK PKWY,CARMIA WAY,49.0,65.99,89.14086559,Good
PARKWAY DR,CURRIER ST,ANGIER AVE,64.0,72.48,61.0293797,Good
CLARISSA DR,MCCALLIE BLVD,DEAUVILLE CT,50.0,65.0,60.9499763,Fair
CAPITOL VIEW AVE NW,DUPREE AVE NW,DEAD END,44.0,43.545,61.93103244,Marginal
NORTH HIGHLAND AVE,BERNINA AVE,BERNINA AVE,46.0,82.045,63.34944937,Very Good
CASCADE AVE,HAVILON DR,MAYFLOWER AVE,49.0,76.96,60.34213566,Good
GENESSEE AVE,FAIRBANKS ST,EVERHART ST,57.0,76.47,75.75036298,Very Good
NORTH AVE,CHAPPELL RD,PIERCE AVE,47.0,51.59,69.18838712,Fair
RALPH DAVID ABERNATHY BLVD,POLLARD BLVD,HANK AARON DR,54.0,56.815,73.02964394,Fair
BENJAMIN WELDON BICKERS DR,PARK AVE,MOURY AVE,54.0,79.1,59.89975,Good
FIELDING LN,KEATS DR,HALDANE DR,42.0,58.185,50.41490236,Fair
MOBILE AVE,METROPOLITAN PKWY,EAST END,44.0,31.8,53.08655763,Poor
WOODLAND AVE,HEMLOCK CIR,LORING ST,56.0,60.66,62.26330838,Fair
MOUNT ZION RD,METROPOLITAN PKWY,OLD JONESBORO RD,60.0,53.565,55.03287932,Marginal
WEST PARK CT,SW END,POWERS FERRY RD,46.0,59.945,44.00120718,Marginal
OLD PACES PL,OLD PACES PL,WEST PACES FERRY RD,50.0,73.9,52.74975,Good
CLEVELAND AVE,VINEYARDS DR,JONESBORO RD,47.0,25.87,48.29657578,Poor
BLACK FOREST TRL,ARROWOOD DR,THE FONTAINEBLEAU,65.0,78.7,63.62982574,Good
MONROE DR,CUMBERLAND RD,SHERWOOD RD,42.0,75.97,55.7579775,Good
ROCKWELL ST,METROPOLITAN PKWY,BERYL ST,55.0,57.61,54.12765645,Fair
MAYSON TURNER RD,CHAPPELL RD,JOSEPH E BOONE BLVD,52.0,69.5,61.79539964,Good
RIDGEMORE RD,RIDGEMORE PL,RIDGEMORE PL,64.0,72.48,50.56224,Good
FAIRLANE DR,CLEVELAND AVE,ALTAVIEW DR,42.0,66.055,54.94484521,Fair
BECKWITH ST,SNCC WAY,JAMES P BRAWLEY DR,57.0,69.22,60.70948455,Good
RIDGEWOOD RD,GARRAUX RD,NANCY CREEK RD,42.0,49.07,68.35361144,Fair
ORMEWOOD AVE,STOKESWOOD AVE,SHADOWRIDGE DR,46.0,65.73,61.41611878,Fair
EDEN AVE,WALKER AVE,ORMEWOOD TER,55.0,50.885,49.70004422,Marginal
BILLINGS AVE,THOMASVILLE DR,BILLINGS AVE,37.0,84.9,82.88454914,Very Good
MANOR RIDGE DR,ALTON RD,MANOR RIDGE DR,66.0,69.43,80.4886209,Good
PIEDMONT AVE,DOWNTOWN CONNECTOR,RALPH MCGILL BLVD,45.0,50.035,56.32272479,Marginal
MANOR RIDGE DR,MANOR RIDGE DR,ALTON RD,45.0,67.78,80.59547202,Good
GREYSTONE RD,MEREDITH DR,WALTHALL DR,42.0,88.4,69.316,Very Good
MONTREAT AVE,CASCADE AVE,MONTREAT PL,59.0,65.47,83.80296129,Good
MACEDONIA RD,BROWNS MILL RD,RENAULT RD,65.0,88.5,79.16952247,Excellent
EISENHOWER RD,EISENHOWER CIR,FORREST PARK RD,60.0,74.9,68.53235053,Good
ROOSEVELT DR,GARFIELD WAY,EISENHOWER CIR,62.0,60.4,53.07107129,Fair
HILL ST,BILL LUCAS DR,BASS ST,40.0,71.3,48.66775,Fair
LA DAWN LN,SUMTER ST,DUNSEATH AVE,55.0,40.785,48.49221851,Poor
HILL ST,I-20,LOGAN ST,56.0,59.945,64.26294782,Fair
HOBART AVE,MORLEY AVE,EDIE AVE,57.0,51.595,64.20835131,Fair
WOODBRIDGE HOLW NE,WOODBRIDGE HOLLOW LN NE,MARKAN DR NE,50.0,93.3,80.79755,Excellent
WOODLAND AVE,WOODLAND AVE,BURNS ST,65.0,76.195,67.68838823,Good
KENNOLIA DR,BEECHER ST,ROGERS AVE,76.0,81.0,62.175,Good
NARMORE DR,CALVERT LN,WENDOVER DR,70.0,45.905,57.25139088,Marginal
WINFIELD CT,CRANFORD DR,EAST END,74.0,79.12,59.92464,Good
OLD IVY RD,LAND O LAKES DR,OLD IVY LN,86.0,65.78,60.83668206,Fair
LANDRUM DR,LAURENS DR,DODSON DR,81.0,100.0,90.0,Excellent
ABBEY PL,ABBEY DR,NE END,69.0,91.5,81.81801605,Excellent
ARD PL,ARGUS CIR,ARGUS CIR,87.0,62.935,66.36824048,Fair
MURPHY AVE,DILL AVE,AVON AVE,77.0,39.01,41.28594244,Poor
JEWEL DR,GUILFORD FOREST DR,SE END,82.0,72.9,78.4854616,Good
NOBLE DR,MEADOWDALE AVE,MEADOWDALE AVE,74.0,83.6,67.63418804,Very Good
SELLS AVE,ATWOOD ST,I-20,74.0,67.355,60.02293875,Fair
ATLANTIC ST,17 1/2 ST,18TH ST,82.0,86.4,67.656,Very Good
CARNEGIE WAY,ELLIS ST,CONE ST,86.0,27.135,39.65383324,Poor
THOMASVILLE DR,BILLINGS AVE,LUTHER ST,74.0,84.9,82.88454914,Very Good
VALLEY RD,HABERSHAM RD,VALLEY RD,71.0,79.57,86.53618082,Very Good
COLOGNE DR,TRIUMPH CIR,SIMCA ST,74.0,68.32,69.81314739,Good
REGENCY CENTER DR,GLENHURST LN,STRATON TRCE,80.0,80.81,61.9555975,Good
ABBEY DR,CAMBRIA RD,CAMDEN CT,70.0,82.6,72.01837561,Very Good
EVERHART ST,GENESSEE AVE,DILL AVE,81.0,75.7,84.0947488,Very Good
BARNETT ST,HIGHLAND VIEW,ADAIR AVE,88.0,90.4,74.73202852,Excellent
NEW ST,WESLEY AVE,EAST END,75.0,87.9,68.91975,Very Good
DEERING RD,NORTHSIDE DR,HASCALL RD,80.0,60.465,65.45996395,Fair
GARRAUX WOODS RD NW,GARRAUX RD NW,DEAD END,74.0,35.415,58.58026283,Poor
OAKCREST DR,WEST END,BRAEMAR AVE,74.0,88.6,69.471,Very Good
GRAHAM ST,DECKNER AVE,GENESSEE AVE,75.0,61.245,46.16195054,Fair
PACES FERRY RD,PACES FERRY PL,EARLY ST,80.0,89.8,81.14033386,Excellent
ARKWRIGHT PL,DAHLGREN ST,ERICSON ST,33.0,36.585,47.87666772,Poor
OLIVER ST NW,NORTH AVE NW,FOX ST NW,74.0,72.34,59.32696686,Good
WALTHALL DR,COLLAND DR,GREYSTONE RD,76.0,66.7,63.63204114,Good
CHURCH ST,LONGLEY AVE,HERNDON ST,81.0,21.42,48.61404191,Poor
FAIRBURN RD,BAKERS FERRY RD,MARTIN LUTHER KING JR DR,72.0,85.1,68.36773574,Very Good
GARDEN WALK SW,TELFORD TER SW,DEAD END,70.0,80.2,68.48298522,Very Good
MOUNT PARAN RD,RANDALL CT,STONEGATE WAY,69.0,95.6,86.0312,Excellent
HIGHTOWER RD,PROPOSED,4TH ST,78.0,26.7,43.80263135,Poor
SPRINGDALE RD,YALE PL,SPRINGDALE PL,87.0,24.37,42.73826645,Poor
CASCADE KNOLLS DR,BOISE TRL,FERN BROOKS DR,74.0,53.3,58.43672981,Marginal
MURIEL AVE,PAGE AVE,CLIFTON RD,83.0,63.575,65.06780395,Fair
BAKER RD,ARLINGTON CIR,EMILY PL,83.0,64.5,60.69617223,Fair
FERST DR NW,PONDERS AVE NW,CHERRY ST NW,76.0,68.9,74.08070452,Good
BIRCHWOOD DR,BIRCHWOOD DR,ARLENE WAY,71.0,91.9,76.54995,Excellent
LOMITA RD SE,GLENWOOD AVE SE,DONNALEE AVE,73.0,42.6,55.33622795,Marginal
VINE ST,JETT ST,JETT ST,80.0,43.905,47.295711,Marginal
GATES PL,CARR CIR,DUPONT COMMONS DR,73.0,91.1,73.76195,Excellent
HABERSHAM WAY,HABERSHAM RD,HABERSHAM PARK,75.0,89.1,70.64202479,Very Good
ROCHELLE DR,WESTBORO DR,BEECHER ST,69.0,62.34,65.76324545,Fair
VANNOY ST,MERLIN AVE,COLMER AVE,84.0,34.675,52.63511499,Poor
DUPONT COMMONS DR NW,DUPONT COMMONS DR NW,DUPONT COMMONS DR NW,74.0,60.48,39.19950834,Marginal
SPRINGDALE RD,EAST CLEVELAND AVE,GLENWAY DR,86.0,59.22,48.94070148,Fair
MARGARET MITCHELL DR,WEST WESLEY RD,WESLEY WALK,83.0,48.535,63.61484038,Marginal
MARTIN ST,CONNALLY ST,WOODWARD AVE,76.0,73.5,53.06247072,Good
PARKWAY DR,ANGIER AVE,PINE ST,70.0,65.695,83.06647273,Good
DEVONSHIRE PL,NW END,MOORES MILL RD,73.0,23.87,27.64080818,Very Poor
TILDEN ST,WARFIELD ST,BAYLOR ST,69.0,67.16,49.01211967,Fair
WILLARD AVE,STOKES AVE,RALPH DAVID ABERNATHY BLVD,69.0,63.195,64.20046932,Fair
SANDCREEK DR,SANDBROOK CT,SANDSPRING DR,72.0,54.41,36.5836904,Marginal
OAKVIEW RD,PALATKA ST,DOUGLAS ST,71.0,16.93,35.13888499,Very Poor
RIDGEWOOD RD,ALMETA AVE,MARLBROOK DR,72.0,83.61,65.0061975,Very Good
ELOISE ST,MERCER ST,BERNE ST,70.0,52.675,60.64660166,Fair
AJAX DR,ADDISON PL,ABNER TER,86.0,18.27,70.52817326,Poor
ORMEWOOD AVE,ELOISE CT,VERA ST,81.0,45.185,48.45988993,Marginal
CLEVELAND AVE,ALTAVIEW DR,FAIRLANE DR,82.0,66.055,54.94484521,Fair
FORREST WAY,PEACHTREE WAY,KENLOCK PL,80.0,78.745,59.45462437,Good
EAST SUSSEX RD,EAST ROCK SPRINGS RD,PLYMOUTH RD,69.0,54.53,44.16920633,Marginal
CLAIRE DR,LAKEWOOD TER,JONESBORO RD,80.0,24.8,55.19580038,Poor
MARTIN CT,THOMASVILLE BLVD,NE END,86.0,24.705,62.5181367,Poor
OAKLAND DR,CAMPBELLTON RD,OAKLAND LN,76.0,71.29,49.13749896,Fair
RANDO LN,RANDO LN,RANDO LN,75.0,75.2,70.52210337,Good
SOUTH CENTRAL AVE,TRADEPORT BLVD,TRADEPORT BLVD,70.0,14.175,48.18950232,Very Poor
DAVIDSON AVE,LAKEHAVEN DR,EAST BROOKHAVEN DR,78.0,88.0,91.47951968,Excellent
PEACHTREE BATTLE AVE NW,PEACHTREE RD NW,PEACHTREE BATTLE AVE NW,72.0,79.1,66.28281978,Good
AUDUBON CIR,BENJAMIN MAYS DR,WILLIS MILL RD,87.0,90.1,77.56279135,Excellent
HIGHTOWER RD,7TH ST,SAINT JOSEPH AVE,80.0,59.685,67.8623772,Fair
PIPER CIR,BOULDERCREST DR,BOULDERCREST DR,72.0,78.4,75.63070327,Very Good
CHARLESTON AVE,GOULD ST,WHATLEY ST,70.0,62.025,57.68941752,Fair
HEMPHILL AVE,14TH ST,NORTHSIDE DR,70.0,88.2,69.159,Very Good
WESLEY AVE,13TH ST,ALVA ST,71.0,38.2,49.42304308,Poor
OLLIE ST,HARWELL ST,LENA ST,78.0,75.91,77.63705231,Very Good
FOUNTAIN DR SW,PARSONS PL SW,MORRIS BROWN DR SW,73.0,63.83,60.67953894,Fair
CARR ST,BAYLOR ST,NILES AVE,71.0,50.57,47.3175974,Marginal
ASHLAND DR,DRUID CIR,ASHLAND AVE,70.0,55.265,37.35104275,Marginal
BARGE RD,ROU ROYAL AVE,MELLWOOD AVE,86.0,35.785,67.03404734,Marginal
NEWPORT ST,NEAL ST,JETT ST,71.0,67.795,60.08594506,Good
GORDON AVE,OXFORD PL,DEKALB AVE,78.0,60.065,60.915519,Fair
CENTER POINTE CIR,PRESTON LN,NORTH END,73.0,88.0,70.5896058,Very Good
MIMS ST,MATHEWSON PL,MATHEWSON PL,85.0,21.1,52.12908208,Poor
10TH ST,PEACHTREE ST,JUNIPER ST,70.0,61.83,50.05974593,Fair
DEFOOR AVE,MARVIN ST,TAYLOR ST,72.0,96.0,86.72,Excellent
